controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
liquid_online,narrow_gate,420155,1,0,44,14.080000000000002,0.1456672050580054,3,0,8,0.23995122228164367
liquid_supervisor,narrow_gate,420155,1,0,64,20.480000000000004,0.39268108833721244,0,1,8,0.16553255808590922
fixed_policy,narrow_gate,420172,1,0,46,14.720000000000008,0.7701312449658173,0,0,8,0.2293463646905381
liquid_online,narrow_gate,420172,1,0,49,15.680000000000007,0.17738556034967318,3,0,8,0.21683759668333294
liquid_supervisor,narrow_gate,420172,1,0,45,14.400000000000007,0.5093615578134711,0,0,8,0.23456386700723944
fixed_policy,narrow_gate,420189,1,0,71,22.720000000000013,0.4825906981834808,0,0,8,0.14991704832868077
liquid_online,narrow_gate,420189,1,0,47,15.040000000000003,0.4148949971637021,0,0,8,0.2255972355651808
liquid_supervisor,narrow_gate,420189,1,0,47,15.040000000000003,0.4148949971637021,0,0,8,0.2255972355651808
fixed_policy,narrow_gate,420206,1,0,51,16.32000000000001,0.4715604582779222,0,0,8,0.20793033134041486
liquid_online,narrow_gate,420206,1,0,69,22.080000000000016,0.02679760933120051,3,0,8,0.15333191776385627
liquid_supervisor,narrow_gate,420206,1,0,45,14.40000000000001,0.37003463988071744,0,1,8,0.23698882929606843
fixed_policy,narrow_gate,420223,1,0,42,13.440000000000001,0.7277505588201121,0,0,8,0.2532052018183546
liquid_online,narrow_gate,420223,1,0,76,24.320000000000014,0.43943468905783994,0,0,8,0.14021461586614267
liquid_supervisor,narrow_gate,420223,1,0,76,24.320000000000014,0.43943468905783994,0,0,8,0.1394394318851669
fixed_policy,narrow_gate,420240,1,0,58,18.56000000000001,0.21101622214588306,2,0,8,0.18133066088767683
liquid_online,narrow_gate,420240,1,0,43,13.760000000000005,0.6745709682209264,0,0,8,0.24887468909488122
liquid_supervisor,narrow_gate,420240,1,0,42,13.440000000000008,0.3689102711618976,0,0,8,0.2511902708573362
fixed_policy,narrow_gate,420257,1,0,42,13.440000000000005,0.17922352005368397,1,0,8,0.24787514171393704
liquid_online,narrow_gate,420257,1,0,72,23.04000000000001,0.3117705795811507,2,0,8,0.14520651114967326
liquid_supervisor,narrow_gate,420257,1,0,44,14.080000000000007,0.3781673446795281,0,0,8,0.2369692517771362
fixed_policy,narrow_gate,420274,1,0,46,14.720000000000008,0.8990046726951906,0,0,8,0.22913581240373904
liquid_online,narrow_gate,420274,1,0,52,16.640000000000004,0.34940484106360764,1,0,8,0.20518855475653075
liquid_supervisor,narrow_gate,420274,1,0,66,21.120000000000005,0.539301581245393,0,1,8,0.16100820993916248
fixed_policy,narrow_gate,420291,1,0,47,15.040000000000008,0.29401882179647404,2,0,8,0.2240127772241403
liquid_online,narrow_gate,420291,1,0,66,21.12,0.2380444016459024,3,0,8,0.16017451027024088
liquid_supervisor,narrow_gate,420291,1,0,49,15.68,0.513758256287353,0,1,8,0.2191238670057
fixed_policy,narrow_gate,420308,1,0,43,13.760000000000003,0.5742276442243361,0,0,8,0.24921762496007188
liquid_online,narrow_gate,420308,1,0,54,17.280000000000005,0.38321860824762916,0,0,8,0.2007754992699685
liquid_supervisor,narrow_gate,420308,1,0,54,17.280000000000005,0.38321860824762916,0,0,8,0.2007754992699685
fixed_policy,narrow_gate,420325,1,0,75,24.000000000000014,0.7378821002563505,0,0,8,0.14070473345848253
liquid_online,narrow_gate,420325,1,0,45,14.400000000000007,0.03047875342314449,5,0,8,0.23514645493606104
liquid_supervisor,narrow_gate,420325,1,0,65,20.80000000000001,0.4434946696358481,0,1,8,0.1634650256896306
fixed_policy,u_trap,420003,1,0,41,13.120000000000005,0.6957101837657973,0,0,8,0.25938372187358216
liquid_online,u_trap,420003,1,0,49,15.68,0.07294293632039367,4,0,8,0.21536582281349526
liquid_supervisor,u_trap,420003,1,0,46,14.719999999999999,0.42789238873325547,0,2,8,0.22872352906100207
fixed_policy,u_trap,420020,1,0,62,19.840000000000007,0.30679667974834296,2,0,8,0.17253815336753076
liquid_online,u_trap,420020,0,1,39,12.480000000000006,-0.16380455173209657,2,0,8,0.22312235579907727
liquid_supervisor,u_trap,420020,1,0,45,14.400000000000007,0.4437142443975039,0,1,8,0.23630251843183483
fixed_policy,u_trap,420037,1,0,42,13.440000000000007,0.5382954555110842,0,0,8,0.25623194383482606
liquid_online,u_trap,420037,1,0,52,16.64,0.30617147924327065,2,0,8,0.20468076957539638
liquid_supervisor,u_trap,420037,1,0,52,16.639999999999997,0.4370834976985089,0,3,8,0.2061967827040054
fixed_policy,u_trap,420054,1,0,41,13.120000000000001,0.5251472229508929,0,0,8,0.258330534134681
liquid_online,u_trap,420054,1,0,48,15.360000000000008,0.1973454990105929,3,0,8,0.22254266262541
liquid_supervisor,u_trap,420054,1,0,86,27.52000000000001,0.4325628143351509,0,2,8,0.12437589569706803
fixed_policy,u_trap,420071,1,0,41,13.120000000000001,0.6624121217115979,0,0,8,0.26240441611564935
