controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
fixed_policy,dense_maze,770120,0,1,42,13.440000000000005,-0.05925837492826941,12,0,8,0.20944022792998793
liquid_online,dense_maze,770120,1,0,46,14.720000000000004,0.2318902297761018,11,0,8,0.23423643786795215
liquid_supervisor,dense_maze,770120,1,0,57,18.24000000000001,0.35320801926639395,0,9,8,0.18733853309710805
fixed_policy,deceptive_u_trap,770002,1,0,43,13.760000000000002,0.24702592187563982,2,0,8,0.2473854329885728
liquid_online,deceptive_u_trap,770002,1,0,72,23.040000000000006,0.32332068907083283,1,0,8,0.1488246909963395
liquid_supervisor,deceptive_u_trap,770002,1,0,83,26.560000000000006,0.4855728756453315,0,1,8,0.12842910652784106
fixed_policy,deceptive_u_trap,770019,1,0,44,14.080000000000004,0.5358884942016182,0,0,8,0.24136239812459873
liquid_online,deceptive_u_trap,770019,1,0,72,23.040000000000006,0.11737489484906732,5,0,8,0.1489880949486605
liquid_supervisor,deceptive_u_trap,770019,1,0,51,16.32,0.36240252534422773,0,2,8,0.2104531864252418
fixed_policy,deceptive_u_trap,770036,1,0,49,15.680000000000003,0.39683406162490437,0,0,8,0.21761988070008395
liquid_online,deceptive_u_trap,770036,0,1,13,4.160000000000002,-0.06771752300952033,2,0,8,0.30330969043906947
liquid_supervisor,deceptive_u_trap,770036,1,0,91,29.120000000000026,0.36838393645261774,0,5,8,0.11896031509520999
fixed_policy,deceptive_u_trap,770053,1,0,50,16.000000000000007,0.4813379780827855,0,0,8,0.21102340708384493
liquid_online,deceptive_u_trap,770053,0,1,43,13.760000000000007,-0.06320324769241231,6,0,8,0.2102342179705407
liquid_supervisor,deceptive_u_trap,770053,1,0,46,14.72000000000001,0.41546877905413176,0,1,8,0.22909750589184666
fixed_policy,deceptive_u_trap,770070,1,0,43,13.760000000000007,0.19166908602235383,3,0,8,0.24641157964397267
liquid_online,deceptive_u_trap,770070,1,0,47,15.039999999999997,0.22750176125945026,1,0,8,0.22723197204571183
liquid_supervisor,deceptive_u_trap,770070,1,0,46,14.719999999999999,0.42384663501760117,0,1,8,0.2301544639774926
fixed_policy,deceptive_u_trap,770087,1,0,44,14.080000000000007,0.5013683433404321,0,0,8,0.23838042595654788
liquid_online,deceptive_u_trap,770087,1,0,68,21.760000000000012,0.16354744647807323,2,0,8,0.1558719896400635
liquid_supervisor,deceptive_u_trap,770087,1,0,52,16.64,0.3530844780043904,0,1,8,0.2048774278113988
fixed_policy,deceptive_u_trap,770104,1,0,45,14.400000000000006,0.3922674640322062,0,0,8,0.23241940800176755
liquid_online,deceptive_u_trap,770104,1,0,48,15.360000000000005,0.43312211081111557,0,0,8,0.21928151149315225
liquid_supervisor,deceptive_u_trap,770104,1,0,47,15.040000000000004,0.46222395903512997,0,0,8,0.22445444063079553
fixed_policy,deceptive_u_trap,770121,1,0,43,13.760000000000007,0.5392941162208724,0,0,8,0.2494758060603215
liquid_online,deceptive_u_trap,770121,1,0,47,15.040000000000003,0.2905624051734453,2,0,8,0.22972976885769186
liquid_supervisor,deceptive_u_trap,770121,1,0,46,14.720000000000002,0.36925848442458936,0,3,8,0.23391139551937937
fixed_policy,sensor_shadow,770003,0,1,22,7.040000000000002,-0.08428559653740031,4,0,8,0.2153830584087155
liquid_online,sensor_shadow,770003,0,1,22,7.040000000000002,-0.08428559653740031,4,0,8,0.2153830584087155
liquid_supervisor,sensor_shadow,770003,1,0,66,21.12000000000001,0.03495410701937213,12,22,8,0.1596183520608354
fixed_policy,sensor_shadow,770020,0,1,41,13.119999999999994,-0.018688377399521172,9,0,8,0.11964492134563033
liquid_online,sensor_shadow,770020,0,1,19,6.079999999999997,-0.016803161491285745,2,0,8,0.2073664265342593
liquid_supervisor,sensor_shadow,770020,1,0,68,21.760000000000012,0.0630179263307517,12,25,8,0.15657728497902396
fixed_policy,sensor_shadow,770037,0,1,19,6.080000000000002,-0.10003576974449452,2,0,8,0.23287402913459593
liquid_online,sensor_shadow,770037,0,1,33,10.560000000000002,-0.04025610705445887,7,0,120,0.11022589046417357
liquid_supervisor,sensor_shadow,770037,0,1,89,28.48000000000002,-0.1997379498772452,6,19,16,0.05617645775190176
fixed_policy,sensor_shadow,770054,0,1,31,9.920000000000007,-0.004810569294164069,4,0,8,0.16941245409391487
liquid_online,sensor_shadow,770054,0,1,30,9.600000000000005,-0.08834856392747176,2,0,8,0.172659191008946
liquid_supervisor,sensor_shadow,770054,1,0,61,19.520000000000014,0.07972705031780575,10,19,8,0.1752955218200473
fixed_policy,sensor_shadow,770071,0,1,68,21.760000000000012,-0.11481577653469893,12,0,8,0.05439547702020677
liquid_online,sensor_shadow,770071,0,1,46,14.720000000000006,-0.030754352275728092,10,0,8,0.15116073316918802
liquid_supervisor,sensor_shadow,770071,1,0,63,20.160000000000007,0.10309662112349754,10,15,8,0.168345051706606
fixed_policy,sensor_shadow,770088,0,1,54,17.28,-0.02450168652557816,24,0,8,0.10559538865369861
liquid_online,sensor_shadow,770088,0,1,30,9.6,-0.10071090690220424,7,0,8,0.1467456786434826
liquid_supervisor,sensor_shadow,770088,1,0,86,27.520000000000017,0.01134920144021434,13,24,8,0.12415057647649134
fixed_policy,sensor_shadow,770105,0,1,17,5.440000000000001,-0.01008627901788578,3,0,8,0.25381189885546884
liquid_online,sensor_shadow,770105,0,1,19,6.080000000000002,-0.14948555791600215,2,0,8,0.23558957004925707
liquid_supervisor,sensor_shadow,770105,1,0,74,23.680000000000017,0.005758550175290145,11,24,8,0.14448848760123834
fixed_policy,sensor_shadow,770122,0,1,19,6.079999999999998,-0.035640020819045715,2,0,8,0.22993570744474615
liquid_online,sensor_shadow,770122,0,1,28,8.960000000000004,-0.11305137759963829,4,0,8,0.12853777093077162
liquid_supervisor,sensor_shadow,770122,1,0,54,17.280000000000005,0.2484404358880415,7,12,8,0.19847363940270343
