controller,scenario,n,success_rate,collision_rate,mean_steps,mean_path_length,mean_min_clearance,mean_near_misses,mean_overrides,mean_adaptation_lag,mean_progress,cell,stage,variant
ltc_imitation_pure,sensor_shadow,2,0.0,1.0,7.0,2.2399999999999998,-0.11913309016357332,2.0,0.0,120.0,0.3004642514709953,ltc,imitation,pure
ltc_imitation_pure,shifted_clutter,2,0.0,1.0,7.0,2.24,-0.2463167320644481,3.0,0.0,120.0,0.30049538761679934,ltc,imitation,pure
ltc_imitation_pure,train_like,2,0.0,1.0,23.0,7.360000000000001,-0.02348133183655443,3.0,0.0,120.0,0.27612023625466064,ltc,imitation,pure
ltc_imitation_pure,u_trap,2,0.0,1.0,13.0,4.159999999999999,-0.1044788314166527,2.0,0.0,120.0,0.31999999999999995,ltc,imitation,pure
ltc_imitation_pure,zigzag_corridor,2,0.0,1.0,8.0,2.5599999999999996,-0.03627911875246964,2.5,0.0,120.0,0.31086901428398744,ltc,imitation,pure
ltc_imitation_residual,deceptive_u_trap,2,1.0,0.0,52.5,16.800000000000008,0.5273644045875822,0.0,0.0,52.5,0.2095346822750667,ltc,imitation,residual
ltc_imitation_residual,dense_maze,2,0.5,0.5,60.5,19.360000000000007,-0.07477559967572164,8.0,0.0,99.0,0.1717193174923311,ltc,imitation,residual
ltc_imitation_residual,labyrinth_maze,2,0.0,1.0,46.0,14.720000000000002,-0.09223001879219833,12.0,0.0,120.0,0.14344401047284575,ltc,imitation,residual
ltc_imitation_residual,narrow_gate,2,1.0,0.0,64.0,20.48000000000001,0.48503168079655334,0.0,0.0,64.0,0.16668192629982842,ltc,imitation,residual
ltc_imitation_residual,sensor_shadow,2,0.0,1.0,44.5,14.240000000000007,-0.05832944092799752,10.0,0.0,120.0,0.10264650507636786,ltc,imitation,residual
ltc_imitation_residual,shifted_clutter,2,1.0,0.0,53.5,17.12000000000001,0.41355133690487883,0.0,0.0,53.5,0.20821384920270872,ltc,imitation,residual
ltc_imitation_residual,train_like,2,0.5,0.0,79.0,25.280000000000012,0.35602751826424667,2.0,0.0,79.0,0.15710670621525472,ltc,imitation,residual
ltc_imitation_residual,u_trap,2,1.0,0.0,43.5,13.920000000000009,0.5389059148641009,0.5,0.0,43.5,0.24547386678818262,ltc,imitation,residual
ltc_imitation_residual,zigzag_corridor,2,0.0,1.0,33.0,10.560000000000006,-0.13692177074222023,5.0,0.0,120.0,0.086366615771237,ltc,imitation,residual
ltc_rl_finetune_pure,deceptive_u_trap,2,0.0,1.0,15.0,4.799999999999999,-0.17566041038077837,3.0,0.0,120.0,0.30515383414759345,ltc,rl_finetune,pure
ltc_rl_finetune_pure,dense_maze,2,0.0,1.0,8.0,2.560000000000001,-0.17759610491148736,3.5,0.0,120.0,0.3104707333324961,ltc,rl_finetune,pure
ltc_rl_finetune_pure,labyrinth_maze,2,0.0,1.0,5.5,1.7600000000000002,-0.08442407680646061,3.0,0.0,120.0,0.3102419003990946,ltc,rl_finetune,pure
ltc_rl_finetune_pure,narrow_gate,2,0.0,1.0,17.0,5.4399999999999995,-0.1306264245160454,2.0,0.0,120.0,0.2903252850013987,ltc,rl_finetune,pure
ltc_rl_finetune_pure,sensor_shadow,2,0.0,1.0,10.0,3.2000000000000015,-0.10774031654220692,3.5,0.0,120.0,0.31020973625803755,ltc,rl_finetune,pure
ltc_rl_finetune_pure,shifted_clutter,2,0.0,1.0,7.0,2.2399999999999993,-0.22473099623529313,3.0,0.0,120.0,0.31024644269826684,ltc,rl_finetune,pure
ltc_rl_finetune_pure,train_like,2,0.0,1.0,19.0,6.080000000000001,-0.046564095996878,2.0,0.0,120.0,0.28197678899034834,ltc,rl_finetune,pure
ltc_rl_finetune_pure,u_trap,2,0.0,1.0,13.0,4.159999999999999,-0.1044788314166527,2.0,0.0,120.0,0.31999999999999995,ltc,rl_finetune,pure
ltc_rl_finetune_pure,zigzag_corridor,2,0.0,1.0,11.0,3.5199999999999987,-0.02107420747281208,3.0,0.0,120.0,0.32,ltc,rl_finetune,pure
ltc_rl_finetune_residual,deceptive_u_trap,2,1.0,0.0,52.5,16.800000000000008,0.5273644045875822,0.0,0.0,52.5,0.2095346822750667,ltc,rl_finetune,residual
ltc_rl_finetune_residual,dense_maze,2,0.5,0.5,60.5,19.360000000000007,-0.07477559967572164,8.0,0.0,99.0,0.1717193174923311,ltc,rl_finetune,residual
ltc_rl_finetune_residual,labyrinth_maze,2,0.0,1.0,52.5,16.800000000000004,-0.06525336778900914,12.5,0.0,120.0,0.13452310799517542,ltc,rl_finetune,residual
ltc_rl_finetune_residual,narrow_gate,2,1.0,0.0,64.0,20.48000000000001,0.48503168079655334,0.0,0.0,64.0,0.16668192629982842,ltc,rl_finetune,residual
ltc_rl_finetune_residual,sensor_shadow,2,0.0,1.0,27.0,8.640000000000004,-0.15018395273997429,5.0,0.0,120.0,0.18161595087266708,ltc,rl_finetune,residual
ltc_rl_finetune_residual,shifted_clutter,2,1.0,0.0,72.5,23.200000000000014,0.3229146097077147,2.0,0.0,72.5,0.1492527690254286,ltc,rl_finetune,residual
ltc_rl_finetune_residual,train_like,2,0.5,0.0,79.0,25.280000000000012,0.35602751826424667,2.0,0.0,79.0,0.15710670621525472,ltc,rl_finetune,residual
ltc_rl_finetune_residual,u_trap,2,1.0,0.0,54.0,17.280000000000012,0.5389059148641009,0.5,0.0,54.0,0.20142661105988394,ltc,rl_finetune,residual
ltc_rl_finetune_residual,zigzag_corridor,2,0.0,1.0,30.5,9.760000000000005,-0.12049420549036213,4.5,0.0,120.0,0.14936108832988393,ltc,rl_finetune,residual
